epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.9232736825942993,0.9232610464096069,0.23516765236854553,0.9710144996643066,0.9708614349365234,0.1168067678809166
1,0.9790281057357788,0.9790209531784058,0.11800865828990936,0.9768115878105164,0.9766685962677002,0.11195871978998184
2,0.9810741543769836,0.981069028377533,0.09072404354810715,0.9884058237075806,0.9883113503456116,0.09421064704656601
3,0.9800511598587036,0.9800469875335693,0.09281176328659058,0.9826086759567261,0.9824670553207397,0.0874563530087471
4,0.9918158650398254,0.9918134212493896,0.0651029571890831,0.9884058237075806,0.9882986545562744,0.06517644226551056
5,0.9918158650398254,0.9918137788772583,0.06997187435626984,0.991304337978363,0.9912288188934326,0.06444411724805832
6,0.991304337978363,0.9913012981414795,0.06610753387212753,0.991304337978363,0.9912190437316895,0.061669331043958664
7,0.9943733811378479,0.994371771812439,0.06494355946779251,0.9942029118537903,0.9941493272781372,0.06316345185041428
8,0.9810741543769836,0.9810653328895569,0.08832978457212448,0.9884058237075806,0.9883113503456116,0.09760492295026779
9,0.9948849081993103,0.9948828220367432,0.06251309812068939,0.9942029118537903,0.9941493272781372,0.06347952038049698
10,0.9953964352607727,0.9953950047492981,0.06345737725496292,0.991304337978363,0.9912288188934326,0.07202918827533722
11,0.9979539513587952,0.9979532361030579,0.053707972168922424,0.9942029118537903,0.9941493272781372,0.06549771875143051
