epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.7868443131446838,0.7829253673553467,0.6164272427558899,0.8779342770576477,0.8792195320129395,0.43335747718811035
1,0.9275603890419006,0.9260454177856445,0.22870874404907227,0.9483568072319031,0.9489195346832275,0.24770185351371765
2,0.9542048573493958,0.9528135657310486,0.1771843582391739,0.9577465057373047,0.9586813449859619,0.1760966032743454
3,0.9800166487693787,0.979436457157135,0.10142050683498383,0.98591548204422,0.9868277907371521,0.13658085465431213
4,0.9708576202392578,0.9701094627380371,0.1252092719078064,0.9671361446380615,0.9682196974754333,0.12697425484657288
5,0.978351354598999,0.9778523445129395,0.10631527751684189,0.9718309640884399,0.9719586372375488,0.1058000847697258
6,0.985845148563385,0.9850320816040039,0.0867636576294899,0.98591548204422,0.9863541722297668,0.09346324950456619
7,0.9891756772994995,0.9886303544044495,0.08283627778291702,0.9812206625938416,0.9819402098655701,0.07937221974134445
8,0.9883430600166321,0.9879654049873352,0.07740474492311478,0.9765258431434631,0.9775077700614929,0.10706346482038498
9,0.9925062656402588,0.9921577572822571,0.0628502145409584,0.9812206625938416,0.9819545745849609,0.11319412291049957
10,0.9850124716758728,0.9850208163261414,0.08432470262050629,0.9765258431434631,0.9775417447090149,0.11853751540184021
11,0.9908409714698792,0.9907145500183105,0.07113226503133774,0.9765258431434631,0.9775484204292297,0.10128916054964066
12,0.9958367943763733,0.9958119988441467,0.05846647173166275,0.9765258431434631,0.9775484204292297,0.10581918805837631
