epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9628419876098633,0.13585728406906128,0.9606109261512756,0.9660468697547913,1.0,0.05428497865796089,1.0,1.0
1,0.9955083727836609,0.05299920216202736,0.995954692363739,0.995149552822113,0.9976905584335327,0.04922426491975784,0.995121955871582,1.0
2,0.9979583621025085,0.04904544726014137,0.9975767135620117,0.9983831644058228,0.9976905584335327,0.048688359558582306,0.995121955871582,1.0
3,0.9955083727836609,0.0540427565574646,0.9951534867286682,0.9959579706192017,0.9953810572624207,0.05312298238277435,0.9902912378311157,1.0
4,0.9971417188644409,0.04823022335767746,0.9967690110206604,0.9975748062133789,0.9976905584335327,0.06206835061311722,0.995121955871582,1.0
5,0.9987750053405762,0.04438696801662445,0.9983844757080078,0.9991915822029114,0.9976905584335327,0.047748759388923645,0.995121955871582,1.0
6,0.99836665391922,0.04481632262468338,0.9991902709007263,0.9975748062133789,0.9976905584335327,0.05552949383854866,0.995121955871582,1.0
7,0.9991833567619324,0.04251430183649063,0.9983857870101929,1.0,0.9976905584335327,0.05385925620794296,0.995121955871582,1.0
8,1.0,0.040685124695301056,1.0,1.0,0.9976905584335327,0.053318656980991364,0.995121955871582,1.0
9,0.9991833567619324,0.040895335376262665,0.9991915822029114,0.9991915822029114,0.9976905584335327,0.04950404539704323,0.995121955871582,1.0
10,0.9987750053405762,0.04124022647738457,0.9975806474685669,1.0,0.9976905584335327,0.049604374915361404,0.995121955871582,1.0
