epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8874509930610657,0.8873674273490906,0.34355098009109497,0.9711111187934875,0.9710996747016907,0.1699986606836319
1,0.9678431153297424,0.9678109288215637,0.12795749306678772,0.9911110997200012,0.9910790920257568,0.10366889834403992
2,0.9780392050743103,0.9780454635620117,0.1114521250128746,0.9911110997200012,0.9910790920257568,0.0917312279343605
3,0.9796078205108643,0.9796090722084045,0.09705421328544617,0.9800000190734863,0.9799258708953857,0.10309061408042908
4,0.9831372499465942,0.9831284880638123,0.08543749898672104,0.9933333396911621,0.993305504322052,0.0714680552482605
5,0.9905882477760315,0.9905568957328796,0.07332322001457214,0.9888888597488403,0.988814651966095,0.08001615107059479
6,0.9878431558609009,0.9878413081169128,0.07498262822628021,0.9933333396911621,0.9932973980903625,0.07251235842704773
7,0.9937254786491394,0.9937208294868469,0.06670473515987396,0.9866666793823242,0.9865684509277344,0.07730744779109955
8,0.99647057056427,0.9964630007743835,0.05760856345295906,0.995555579662323,0.995534360408783,0.06419450044631958
9,0.9968627691268921,0.9968671202659607,0.05707878991961479,0.9911110997200012,0.9910575747489929,0.06648710370063782
10,0.9949019551277161,0.9948928952217102,0.05996207520365715,0.9888888597488403,0.9887518882751465,0.0847851112484932
11,0.998039186000824,0.9980383515357971,0.05313693359494209,0.995555579662323,0.995534360408783,0.07062488049268723
12,0.9952940940856934,0.9952947497367859,0.05689680576324463,0.9933333396911621,0.9932973980903625,0.06897077709436417
13,0.9972549080848694,0.9972522258758545,0.05209805816411972,0.9933333396911621,0.9932973980903625,0.07234112918376923
