epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9540880918502808,0.16356459259986877,0.9499915838241577,0.9585167765617371,0.977011501789093,0.1093607023358345,0.9587534666061401,0.997140109539032
1,0.9808066487312317,0.09337783604860306,0.9800507426261902,0.9815441966056824,0.9894636273384094,0.0740366205573082,0.9839773774147034,0.9952335357666016
2,0.9868943691253662,0.08194015175104141,0.9871252179145813,0.9866237640380859,0.9894636273384094,0.07609353959560394,0.9821596145629883,0.997140109539032
3,0.9899382591247559,0.07568643242120743,0.9891800284385681,0.9906874299049377,0.992337167263031,0.07056182622909546,0.9886471033096313,0.9961868524551392
4,0.9901073575019836,0.07481787353754044,0.9896802306175232,0.9905180931091309,0.9894636273384094,0.0786166861653328,0.9961352944374084,0.9828407764434814
5,0.9937431216239929,0.06240126118063927,0.9937351942062378,0.9937351942062378,0.9937739372253418,0.06662514060735703,0.9905303120613098,0.997140109539032
6,0.991544783115387,0.06612270325422287,0.9912013411521912,0.9918726682662964,0.9870689511299133,0.09751498699188232,0.9757914543151855,0.9990466833114624
7,0.9926439523696899,0.062284015119075775,0.9917187690734863,0.9935658574104309,0.9913793206214905,0.07642892748117447,0.9858623743057251,0.997140109539032
8,0.9950113892555237,0.056951772421598434,0.9944190979003906,0.9955977201461792,0.9937739372253418,0.05720129236578941,0.9896030426025391,0.9980934262275696
9,0.9952650666236877,0.05413925647735596,0.9950913786888123,0.9954283833503723,0.992337167263031,0.06529400497674942,0.9868049025535583,0.9980934262275696
10,0.9970406889915466,0.04693669453263283,0.9964485168457031,0.9976295232772827,0.9932950139045715,0.0680321604013443,0.9868296980857849,1.0
11,0.9978861808776855,0.04349728301167488,0.9976307153701782,0.9981374740600586,0.9947317838668823,0.05627214536070824,0.9905481934547424,0.9990466833114624
12,0.9979707598686218,0.041557952761650085,0.9976311326026917,0.9983068108558655,0.9947317838668823,0.05200408771634102,0.9905481934547424,0.9990466833114624
13,0.99754798412323,0.04010847210884094,0.997460663318634,0.9976295232772827,0.9942528605461121,0.05041300132870674,0.9896128177642822,0.9990466833114624
14,0.9983935356140137,0.03759698197245598,0.9984758496284485,0.9983068108558655,0.9952107071876526,0.0493757426738739,0.99241703748703,0.9980934262275696
15,0.9985626339912415,0.035706788301467896,0.9984763860702515,0.9986454248428345,0.9956896305084229,0.04638281464576721,0.9914934039115906,1.0
16,0.9982243776321411,0.03528963774442673,0.9979692101478577,0.9984761476516724,0.9942528605461121,0.04632838815450668,0.9905392527580261,0.9980934262275696
17,0.9979707598686218,0.03343859687447548,0.9981368780136108,0.9977988600730896,0.9961685538291931,0.0445304773747921,0.9924314022064209,1.0
18,0.9987317323684692,0.031162738800048828,0.998814582824707,0.9986454248428345,0.9937739372253418,0.050020378082990646,0.9886792302131653,0.9990466833114624
19,0.9977170825004578,0.032558880746364594,0.9976299405097961,0.9977988600730896,0.9952107071876526,0.0464952290058136,0.9905571341514587,1.0
20,0.9984780550003052,0.03152759000658989,0.9979702234268188,0.9989840984344482,0.9961685538291931,0.043205179274082184,0.9924314022064209,1.0
21,0.998900830745697,0.028358250856399536,0.9988149404525757,0.9989840984344482,0.9961685538291931,0.04068852216005325,0.9924314022064209,1.0
22,0.9994081258773804,0.026464788243174553,0.9994919300079346,0.9993227124214172,0.9956896305084229,0.042534150183200836,0.9914934039115906,1.0
23,0.9991544485092163,0.026837121695280075,0.9993224740028381,0.9989840984344482,0.9961685538291931,0.041573476046323776,0.9924314022064209,1.0
24,0.9989853501319885,0.026596255600452423,0.9989840984344482,0.9989840984344482,0.9961685538291931,0.03873763233423233,0.9924314022064209,1.0
25,0.9992390275001526,0.025559451431035995,0.9993225932121277,0.9991533756256104,0.9966475367546082,0.038202229887247086,0.9933711886405945,1.0
26,0.9989853501319885,0.02622319757938385,0.9984776973724365,0.9994920492172241,0.9961685538291931,0.038501325994729996,0.9924314022064209,1.0
27,0.9991544485092163,0.025800177827477455,0.9993224740028381,0.9989840984344482,0.9971264600753784,0.038161903619766235,0.9943128228187561,1.0
28,0.9991544485092163,0.02460298128426075,0.9989844560623169,0.9993227124214172,0.9961685538291931,0.03999721631407738,0.9924314022064209,1.0
29,0.9992390275001526,0.02415389008820057,0.999491810798645,0.9989840984344482,0.9966475367546082,0.039704084396362305,0.9933711886405945,1.0
