epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9397059082984924,0.1812383383512497,0.9368575811386108,0.942392885684967,0.9708333611488342,0.10050439834594727,1.0,0.9430894255638123
1,0.9933823347091675,0.0724354162812233,0.9985074400901794,0.9881831407546997,0.9916666746139526,0.07035227864980698,1.0,0.9837398529052734
2,0.9948529601097107,0.06477611511945724,0.9955621361732483,0.9940915703773499,0.9958333373069763,0.0640254020690918,0.9919354915618896,1.0
3,0.9992647171020508,0.050335630774497986,1.0,0.9985228776931763,0.9916666746139526,0.06643150746822357,1.0,0.9837398529052734
4,0.9985294342041016,0.04728667810559273,0.9985228776931763,0.9985228776931763,0.9916666746139526,0.05852542817592621,1.0,0.9837398529052734
5,0.9992647171020508,0.04484200105071068,1.0,0.9985228776931763,0.9916666746139526,0.054000675678253174,1.0,0.9837398529052734
6,0.9985294342041016,0.04440835863351822,0.9985228776931763,0.9985228776931763,0.9958333373069763,0.05270565301179886,1.0,0.9918699264526367
7,0.9992647171020508,0.04204361140727997,0.998525083065033,1.0,0.9958333373069763,0.050501417368650436,1.0,0.9918699264526367
8,0.9985294342041016,0.04243313521146774,0.9985228776931763,0.9985228776931763,0.9958333373069763,0.05031249672174454,1.0,0.9918699264526367
9,0.9963235259056091,0.049411267042160034,0.998516321182251,0.9940915703773499,0.9916666746139526,0.07699485123157501,0.9918699264526367,0.9918699264526367
10,0.9977940917015076,0.046108026057481766,0.9970501661300659,0.9985228776931763,0.9958333373069763,0.043981097638607025,1.0,0.9918699264526367
11,1.0,0.040614210069179535,1.0,1.0,0.9958333373069763,0.04313219338655472,1.0,0.9918699264526367
12,1.0,0.03948511555790901,1.0,1.0,1.0,0.0410601869225502,1.0,1.0
13,1.0,0.03860015422105789,1.0,1.0,1.0,0.04141833260655403,1.0,1.0
14,0.9992647171020508,0.0381484255194664,0.998525083065033,1.0,0.9958333373069763,0.0425870418548584,1.0,0.9918699264526367
15,1.0,0.0371767058968544,1.0,1.0,0.9958333373069763,0.041907887905836105,1.0,0.9918699264526367
16,0.9992647171020508,0.039032623171806335,1.0,0.9985228776931763,1.0,0.03815082088112831,1.0,1.0
17,1.0,0.03604560345411301,1.0,1.0,1.0,0.038690827786922455,1.0,1.0
18,0.9977940917015076,0.03808879107236862,0.9985207319259644,0.9970458149909973,0.9916666746139526,0.06336091458797455,1.0,0.9837398529052734
19,1.0,0.03647705540060997,1.0,1.0,1.0,0.04162270948290825,1.0,1.0
20,1.0,0.03529505431652069,1.0,1.0,1.0,0.03789406269788742,1.0,1.0
21,1.0,0.035695504397153854,1.0,1.0,1.0,0.03987627103924751,1.0,1.0
22,0.9985294342041016,0.03793519362807274,0.9985228776931763,0.9985228776931763,1.0,0.03594958037137985,1.0,1.0
23,0.9985294342041016,0.036310214549303055,0.9985228776931763,0.9985228776931763,0.9958333373069763,0.05810311809182167,1.0,0.9918699264526367
24,0.9985294342041016,0.03622946888208389,1.0,0.9970458149909973,1.0,0.034887250512838364,1.0,1.0
25,1.0,0.034550126641988754,1.0,1.0,1.0,0.03502587974071503,1.0,1.0
26,1.0,0.03440482169389725,1.0,1.0,1.0,0.03500531613826752,1.0,1.0
27,1.0,0.03412503004074097,1.0,1.0,1.0,0.03502094745635986,1.0,1.0
28,1.0,0.03358226269483566,1.0,1.0,1.0,0.03500181809067726,1.0,1.0
29,1.0,0.03344659134745598,1.0,1.0,1.0,0.03473528102040291,1.0,1.0
