epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.7960029244422913,0.7143465876579285,0.765619158744812,0.9550406336784363,0.9336735606193542,0.21438954770565033
1,0.898719072341919,0.8581141233444214,0.4011997878551483,0.9662421345710754,0.9534586668014526,0.19359993934631348
2,0.9166734218597412,0.8835396766662598,0.3556250333786011,0.9731471538543701,0.9636920094490051,0.1846407949924469
3,0.9300512075424194,0.9027133584022522,0.33037614822387695,0.9717661738395691,0.9605154991149902,0.1956867277622223
4,0.9330300092697144,0.9073052406311035,0.3341449499130249,0.9705386161804199,0.9566715359687805,0.2046772688627243
5,0.9390147924423218,0.9162879586219788,0.32856979966163635,0.9774436354637146,0.9661750793457031,0.21285930275917053
6,0.9417228698730469,0.9190276265144348,0.3318270444869995,0.9726868271827698,0.9630771279335022,0.22542297840118408
7,0.9426977634429932,0.9209374785423279,0.3272543251514435,0.9751419425010681,0.9667860269546509,0.22378748655319214
8,0.9456766247749329,0.9248912334442139,0.3262867033481598,0.979284942150116,0.9713581204414368,0.2212875336408615
9,0.946732759475708,0.9281465411186218,0.3328841030597687,0.9780573844909668,0.9718467593193054,0.2223224937915802
