epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9591695666313171,0.13814078271389008,0.9537414908409119,0.9655647277832031,0.9803921580314636,0.09628603607416153,1.0,0.9596773982048035
1,0.9934256076812744,0.059986550360918045,0.992439866065979,0.994490385055542,0.9921568632125854,0.05798028036952019,1.0,0.9838709831237793
2,0.9930796027183533,0.06718355417251587,0.9924346804618835,0.9938016533851624,0.9941176176071167,0.0666968822479248,0.9880478382110596,1.0
3,0.9944636821746826,0.05822589620947838,0.9951724410057068,0.9938016533851624,0.9960784316062927,0.06468365341424942,0.9919999837875366,1.0
4,0.9955017566680908,0.05863478034734726,0.9945017099380493,0.9965564608573914,0.998039186000824,0.04724927619099617,0.9959839582443237,1.0
5,0.9975778460502625,0.0505104623734951,0.9979324340820312,0.997245192527771,0.998039186000824,0.04410077631473541,0.9959839582443237,1.0
6,0.9972318410873413,0.04947402700781822,0.997245192527771,0.997245192527771,1.0,0.043389949947595596,1.0,1.0
7,0.9986159205436707,0.046818580478429794,0.9986225962638855,0.9986225962638855,0.998039186000824,0.048738934099674225,0.9959839582443237,1.0
8,0.9965397715568542,0.04999275133013725,0.9993074536323547,0.9938016533851624,0.998039186000824,0.04839044436812401,0.9959839582443237,1.0
9,0.9975778460502625,0.04435769468545914,0.995881974697113,0.9993112683296204,0.998039186000824,0.051185738295316696,0.9959839582443237,1.0
10,0.9993079304695129,0.04221738502383232,1.0,0.9986225962638855,0.9960784316062927,0.05289739370346069,0.9919999837875366,1.0
11,0.9979238510131836,0.04506635293364525,0.9972489476203918,0.9986225962638855,0.998039186000824,0.05047023668885231,0.9959839582443237,1.0
