epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9155322909355164,0.24435372650623322,0.9148199558258057,0.9173611402511597,0.97826087474823,0.11751999706029892,0.9610894918441772,0.9959677457809448
1,0.9762652516365051,0.1069975346326828,0.9718019366264343,0.981249988079071,0.9881423115730286,0.08900913596153259,0.9763779640197754,1.0
2,0.9863874316215515,0.08943051844835281,0.9861207604408264,0.9868055582046509,0.9881423115730286,0.08687899261713028,0.984000027179718,0.9919354915618896
3,0.9926701784133911,0.07130918651819229,0.9923664331436157,0.9930555820465088,0.9841897487640381,0.0725986659526825,0.96875,1.0
4,0.9933682084083557,0.06305884569883347,0.9937456846237183,0.9930555820465088,0.9940711259841919,0.0664033517241478,0.9959514141082764,0.9919354915618896
5,0.9937172532081604,0.05941358581185341,0.992382287979126,0.9951388835906982,0.9980236887931824,0.061016131192445755,0.9959839582443237,1.0
6,0.9902268648147583,0.06894160807132721,0.9923291206359863,0.988194465637207,0.9901185631752014,0.08823101222515106,0.9802371263504028,1.0
7,0.9919720888137817,0.0745319202542305,0.9909909963607788,0.9930555820465088,0.9743083119392395,0.2085852473974228,0.991631805896759,0.9556451439857483
8,0.9944153428077698,0.06251104921102524,0.9937586784362793,0.9951388835906982,0.992094874382019,0.08902884274721146,0.9959349632263184,0.9879032373428345
9,0.9947643876075745,0.0583825446665287,0.9972086548805237,0.9923611283302307,0.9861660003662109,0.08225523680448532,0.980079710483551,0.9919354915618896
10,0.9989528656005859,0.05015793442726135,0.9993050694465637,0.9986110925674438,0.992094874382019,0.06450892984867096,0.9879999756813049,0.9959677457809448
