epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.750983715057373,0.7498974800109863,0.6831263899803162,0.8476190567016602,0.8443529009819031,0.4356164336204529
1,0.8853288292884827,0.8852696418762207,0.3319409191608429,0.8984127044677734,0.8973231315612793,0.3367067277431488
2,0.92242830991745,0.9222069382667542,0.24757423996925354,0.9015873074531555,0.9018513560295105,0.3098623752593994
3,0.9359190464019775,0.9359211325645447,0.21141797304153442,0.920634925365448,0.9203405976295471,0.2858923375606537
4,0.9555930495262146,0.9555436968803406,0.1629735827445984,0.9142857193946838,0.9139036536216736,0.30048492550849915
5,0.9724564552307129,0.9724240899085999,0.12464071065187454,0.9269841313362122,0.9270977973937988,0.2833535969257355
6,0.9662731885910034,0.9662697315216064,0.13233411312103271,0.920634925365448,0.9197354316711426,0.3042755722999573
7,0.9741427898406982,0.9740927815437317,0.11768044531345367,0.9269841313362122,0.9269833564758301,0.32135117053985596
8,0.9836987257003784,0.9836888909339905,0.09557578712701797,0.9333333373069763,0.9330534934997559,0.29476067423820496
9,0.9848229289054871,0.9848085045814514,0.09348192811012268,0.9365079402923584,0.9360842704772949,0.29379481077194214
10,0.9848229289054871,0.9847924113273621,0.08519250154495239,0.920634925365448,0.9205985069274902,0.2993124723434448
