epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.9418509602546692,0.9334418177604675,0.354443222284317,1.0,1.0,0.20942506194114685
1,0.9942669868469238,0.9934202432632446,0.21189458668231964,1.0,1.0,0.19260072708129883
2,0.9975429773330688,0.9971646070480347,0.19364987313747406,1.0,1.0,0.17870086431503296
3,0.9975429773330688,0.9971646070480347,0.1792987883090973,1.0,1.0,0.1684308499097824
4,0.9983620047569275,0.9981136322021484,0.16690686345100403,1.0,1.0,0.1586630493402481
5,1.0,1.0,0.15767616033554077,1.0,1.0,0.15070945024490356
6,0.9983620047569275,0.9981083869934082,0.14848138391971588,1.0,1.0,0.14247289299964905
7,0.9983620047569275,0.9981110095977783,0.14027084410190582,1.0,1.0,0.13459299504756927
8,0.9991809725761414,0.9990561008453369,0.1327134519815445,1.0,1.0,0.12746548652648926
9,0.9991809725761414,0.9990547895431519,0.12583096325397491,1.0,1.0,0.12111888080835342
10,0.9983620047569275,0.9981110095977783,0.12185218930244446,1.0,1.0,0.11499898880720139
11,0.9983620047569275,0.9981110095977783,0.11464061588048935,1.0,1.0,0.10933000594377518
12,0.9991809725761414,0.9990561008453369,0.10895925015211105,1.0,1.0,0.10499464720487595
13,0.9991809725761414,0.9990561008453369,0.10432767868041992,1.0,1.0,0.10011247545480728
14,1.0,1.0,0.09894061088562012,1.0,1.0,0.09563114494085312
15,1.0,1.0,0.09504467248916626,1.0,1.0,0.09164825081825256
16,0.9991809725761414,0.9990561008453369,0.09148339182138443,1.0,1.0,0.08778607100248337
17,0.9991809725761414,0.9990547895431519,0.08752575516700745,1.0,1.0,0.08376394957304001
18,0.9991809725761414,0.9990561008453369,0.08341892808675766,1.0,1.0,0.08172836154699326
19,0.9991809725761414,0.9990547895431519,0.08232831209897995,1.0,1.0,0.07891606539487839
