epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.921403169631958,0.8328832387924194,0.3922123312950134,0.9646464586257935,0.9139130115509033,0.26861050724983215
1,0.9782415628433228,0.9536083936691284,0.2482406049966812,0.9873737096786499,0.9716295003890991,0.22574344277381897
2,0.9844582676887512,0.9668630957603455,0.22333493828773499,0.9873737096786499,0.9729858636856079,0.19095413386821747
3,0.9955595135688782,0.9904929399490356,0.17968551814556122,0.9949495196342468,0.9891082644462585,0.16870993375778198
4,0.9946714043617249,0.988654375076294,0.16916730999946594,0.9924242496490479,0.9835308194160461,0.1581432819366455
5,0.9955595135688782,0.9905970692634583,0.1560080349445343,0.997474730014801,0.994510293006897,0.14800269901752472
6,0.9920070767402649,0.9828872680664062,0.1538255363702774,0.9924242496490479,0.9837914705276489,0.14392833411693573
7,0.9982237815856934,0.9962180852890015,0.1387583166360855,1.0,1.0,0.12776881456375122
8,0.9933392405509949,0.9857984781265259,0.13285481929779053,0.9898989796638489,0.9788855314254761,0.1285770684480667
9,0.9924511313438416,0.9839930534362793,0.13375629484653473,0.9949495196342468,0.9889310598373413,0.12313293665647507
10,0.9964476227760315,0.9924362301826477,0.11638002842664719,0.9898989796638489,0.9782165884971619,0.11765646934509277
11,0.9942273497581482,0.9876919984817505,0.11873272806406021,0.9949495196342468,0.9891082644462585,0.118550144135952
12,0.9942273497581482,0.9876919984817505,0.11418870091438293,0.9924242496490479,0.9837914705276489,0.10725883394479752
13,0.9946714043617249,0.9885914921760559,0.1020892783999443,0.9924242496490479,0.9837914705276489,0.10026148706674576
14,0.9991118907928467,0.998108983039856,0.0904519185423851,0.9924242496490479,0.9835308194160461,0.09631716459989548
15,0.99866783618927,0.9971597194671631,0.08542010188102722,0.9924242496490479,0.9832597970962524,0.09332045912742615
16,0.9968916773796082,0.9933725595474243,0.08615520596504211,0.9924242496490479,0.9835308194160461,0.09347432106733322
17,0.99866783618927,0.9971674084663391,0.08198663592338562,0.9949495196342468,0.9889310598373413,0.07964136451482773
18,0.9982237815856934,0.9962180852890015,0.07637963443994522,0.9949495196342468,0.9889310598373413,0.0907965674996376
19,0.9982237815856934,0.9962180852890015,0.07668452709913254,0.9898989796638489,0.9774935245513916,0.10228932648897171
