epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8502783179283142,0.8421279191970825,0.6310726404190063,0.9833333492279053,0.9867066144943237,0.26763811707496643
1,0.956636369228363,0.9604488015174866,0.328262060880661,0.9883333444595337,0.9907069206237793,0.22572492063045502
2,0.9674773216247559,0.9697279334068298,0.2872309684753418,0.9883333444595337,0.9906713366508484,0.22482989728450775
3,0.978611171245575,0.9804522395133972,0.24591809511184692,0.9933333396911621,0.9946775436401367,0.19777528941631317
4,0.9815411567687988,0.9826365113258362,0.23736336827278137,0.9933333396911621,0.9946826100349426,0.1865936666727066
5,0.9847641587257385,0.9848042726516724,0.21124614775180817,0.9900000095367432,0.9920239448547363,0.18151992559432983
6,0.989159107208252,0.9910677671432495,0.1955106407403946,0.9950000047683716,0.9960137605667114,0.17079822719097137
7,0.9929680824279785,0.9936330914497375,0.17249703407287598,0.9950000047683716,0.9960137605667114,0.1592824012041092
8,0.9929680824279785,0.9938330054283142,0.16568909585475922,0.9933333396911621,0.9946873784065247,0.1564207375049591
9,0.9915030598640442,0.9922446012496948,0.16263878345489502,0.9883333444595337,0.9892541170120239,0.16214211285114288
10,0.9938470721244812,0.9939985275268555,0.15117371082305908,0.9950000047683716,0.9960100650787354,0.14560890197753906
11,0.9915030598640442,0.9922670125961304,0.14730307459831238,0.9900000095367432,0.9920239448547363,0.16183164715766907
12,0.9923820495605469,0.9929013252258301,0.14557325839996338,0.9950000047683716,0.9960137605667114,0.1321140080690384
13,0.9912101030349731,0.9902308583259583,0.1433863788843155,0.9950000047683716,0.9960172176361084,0.12815754115581512
14,0.9920890927314758,0.992896556854248,0.13316091895103455,0.9950000047683716,0.9960137605667114,0.12037140876054764
15,0.9953120350837708,0.9959742426872253,0.12016212940216064,0.996666669845581,0.9973436594009399,0.11455267667770386
16,0.9950190186500549,0.9951845407485962,0.11958229541778564,0.9933333396911621,0.9946918487548828,0.11380542814731598
17,0.9944330453872681,0.9940279126167297,0.1142314001917839,0.996666669845581,0.9973436594009399,0.10749294608831406
18,0.9938470721244812,0.9950648546218872,0.1145734116435051,0.9933333396911621,0.9946826100349426,0.1050126701593399
19,0.9958980083465576,0.996214747428894,0.10381109267473221,0.9950000047683716,0.9960137605667114,0.10161913931369781
