epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.956695556640625,0.9504127502441406,0.2748906910419464,0.9762740135192871,0.9722975492477417,0.2149784117937088
1,0.9653975963592529,0.9611402153968811,0.2431618571281433,0.977109432220459,0.9739643335342407,0.2011142522096634
2,0.9684550762176514,0.9650489091873169,0.22618937492370605,0.9766082167625427,0.9728206396102905,0.19164486229419708
3,0.9684550762176514,0.964201033115387,0.2150135338306427,0.9767752885818481,0.9729695320129395,0.18360044062137604
4,0.9713361859321594,0.9671635627746582,0.20279616117477417,0.97761070728302,0.9736590385437012,0.17487552762031555
5,0.9724239110946655,0.969130277633667,0.19550545513629913,0.9781119227409363,0.9747254252433777,0.16894538700580597
6,0.9728355407714844,0.9696970582008362,0.18859997391700745,0.977109432220459,0.973375141620636,0.16262756288051605
7,0.974276065826416,0.9708517789840698,0.1798241287469864,0.9782790541648865,0.9749288558959961,0.15737412869930267
8,0.9733647108078003,0.9699138402938843,0.17712098360061646,0.9774436354637146,0.973856508731842,0.15271919965744019
9,0.9743936657905579,0.9706271886825562,0.17108489573001862,0.9774436354637146,0.9733840227127075,0.14860136806964874
