epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8240188360214233,0.7907724976539612,0.8286467790603638,0.9525480270385742,0.9450361132621765,0.3682281970977783
1,0.9178009629249573,0.9067354202270508,0.45677024126052856,0.9610693454742432,0.9538772702217102,0.31129083037376404
2,0.929736852645874,0.9198867082595825,0.3977085053920746,0.965914785861969,0.962988018989563,0.2845759093761444
3,0.9315596222877502,0.9222036600112915,0.38033750653266907,0.9624060392379761,0.9588106870651245,0.2927410304546356
4,0.9382331371307373,0.9285091161727905,0.36077797412872314,0.9625731110572815,0.9564482569694519,0.2792206406593323
5,0.937233567237854,0.9296412467956543,0.3613920509815216,0.9677526950836182,0.9613289833068848,0.2722994089126587
6,0.9398794770240784,0.9319120049476624,0.3528883755207062,0.9672514796257019,0.9598892331123352,0.27497628331184387
7,0.9402028322219849,0.930986225605011,0.3535804748535156,0.9675856232643127,0.9635881185531616,0.26513874530792236
8,0.9383213520050049,0.9287540912628174,0.3586014211177826,0.9662489295005798,0.9595747590065002,0.2769061028957367
9,0.941996157169342,0.9342803359031677,0.34507548809051514,0.96858811378479,0.9647790789604187,0.2643989026546478
