epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8099489808082581,0.7716968655586243,0.7839876413345337,0.929347813129425,0.9042245745658875,0.39388352632522583
1,0.9257015585899353,0.9016923308372498,0.4205303490161896,0.9257246255874634,0.9026791453361511,0.35355857014656067
2,0.9483418464660645,0.9303464889526367,0.34823718667030334,0.9492753744125366,0.9306168556213379,0.3248051702976227
3,0.9556760191917419,0.9407618045806885,0.31798186898231506,0.9510869383811951,0.9342196583747864,0.30791738629341125
4,0.9579081535339355,0.9462568759918213,0.3097010552883148,0.9438405632972717,0.9269840717315674,0.3161921799182892
5,0.9636479616165161,0.951603353023529,0.27284133434295654,0.9474637508392334,0.9296086430549622,0.3147429823875427
6,0.972257673740387,0.9637333154678345,0.24497349560260773,0.9547101259231567,0.9387869834899902,0.2937740087509155
7,0.9821428656578064,0.9762833118438721,0.22388729453086853,0.9510869383811951,0.9341685175895691,0.2911076247692108
8,0.9776785969734192,0.9709960222244263,0.22550974786281586,0.9528985619544983,0.9367929697036743,0.29153427481651306
9,0.983418345451355,0.9781026244163513,0.21327048540115356,0.9583333134651184,0.9431422352790833,0.2703757882118225
10,0.9792729616165161,0.9723497629165649,0.21174415946006775,0.9583333134651184,0.9446101188659668,0.2827936112880707
11,0.9850127696990967,0.9802716374397278,0.20171669125556946,0.9528985619544983,0.9367675185203552,0.277483195066452
12,0.9837372303009033,0.9793165326118469,0.19341996312141418,0.9547101259231567,0.9393970966339111,0.2846992313861847
13,0.9885203838348389,0.9854329824447632,0.18211229145526886,0.9583333134651184,0.9437687397003174,0.2788223326206207
14,0.9846938848495483,0.9799026250839233,0.1876852661371231,0.9583333134651184,0.9437687397003174,0.2759146988391876
