epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8513946533203125,0.8007544279098511,0.7396475672721863,0.961249828338623,0.9493198394775391,0.3243722915649414
1,0.9263036847114563,0.8999256491661072,0.4157038629055023,0.9707220792770386,0.9597772359848022,0.27280133962631226
2,0.9356158971786499,0.9158294200897217,0.3708888292312622,0.9729363918304443,0.9615851044654846,0.258592814207077
3,0.939492404460907,0.9188072681427002,0.3619738519191742,0.9701070189476013,0.9587522745132446,0.2634497582912445
4,0.9402287006378174,0.9216911792755127,0.3512108325958252,0.9737975001335144,0.963834285736084,0.25056275725364685
5,0.939708948135376,0.9202955961227417,0.35054272413253784,0.9749046564102173,0.9632999897003174,0.25143948197364807
6,0.9424592852592468,0.924140453338623,0.3443317115306854,0.9746586084365845,0.9660409688949585,0.2431395798921585
7,0.9426325559616089,0.9235904216766357,0.3398456871509552,0.9723213315010071,0.9620142579078674,0.24885043501853943
8,0.9437803030014038,0.9245930910110474,0.3382704257965088,0.9761348366737366,0.9656247496604919,0.24538445472717285
9,0.9436936974525452,0.9263921976089478,0.33245137333869934,0.973674476146698,0.9660735726356506,0.2413998395204544
