epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8230311870574951,0.7677769064903259,0.8300445675849915,0.9711456298828125,0.9660831093788147,0.1989538073539734
1,0.9514327049255371,0.9391041398048401,0.27989768981933594,0.9726822376251221,0.9675115346908569,0.1980612426996231
2,0.9620952606201172,0.9534160494804382,0.24774757027626038,0.9754140377044678,0.972966730594635,0.1936548948287964
3,0.966029942035675,0.9591035842895508,0.230289489030838,0.9726822376251221,0.9684752225875854,0.1989596039056778
4,0.969514012336731,0.963270366191864,0.22123630344867706,0.9752432703971863,0.9708078503608704,0.18840137124061584
5,0.9697843194007874,0.9635463953018188,0.21516482532024384,0.9769506454467773,0.9720923900604248,0.18949025869369507
6,0.9703249931335449,0.9643266201019287,0.217678502202034,0.9740481376647949,0.9702439904212952,0.19190359115600586
7,0.9782543182373047,0.9739120006561279,0.1932392716407776,0.9784872531890869,0.9753237366676331,0.18282677233219147
8,0.981137752532959,0.9783213138580322,0.17891468107700348,0.9788287281990051,0.9750403165817261,0.1790393888950348
9,0.9817084074020386,0.9772356152534485,0.17672832310199738,0.9784872531890869,0.9753351807594299,0.17369244992733002
10,0.9802967309951782,0.9768039584159851,0.17309802770614624,0.977975070476532,0.9734534025192261,0.1752459704875946
11,0.9837508201599121,0.9800946712493896,0.1650448739528656,0.9781458377838135,0.9745187759399414,0.1675320565700531
12,0.9812278747558594,0.976915180683136,0.16835661232471466,0.9795116782188416,0.9766886234283447,0.16478602588176727
13,0.9830900430679321,0.9793558120727539,0.1586880087852478,0.9791702032089233,0.9737091064453125,0.16395331919193268
14,0.9841713309288025,0.9811059236526489,0.15509112179279327,0.9808775782585144,0.9780791401863098,0.1622273474931717
15,0.9838709831237793,0.980014443397522,0.15392544865608215,0.9798531532287598,0.9753837585449219,0.16149108111858368
16,0.9846518635749817,0.9818887710571289,0.14828358590602875,0.979682445526123,0.9762659668922424,0.16241121292114258
17,0.9846819043159485,0.982454240322113,0.14995743334293365,0.9776335954666138,0.974026083946228,0.16107980906963348
18,0.9847119450569153,0.9808197021484375,0.14414045214653015,0.9808775782585144,0.977432131767273,0.154143288731575
19,0.9854628443717957,0.9830139875411987,0.1413036584854126,0.9803653955459595,0.9770958423614502,0.1549355536699295
