epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.7093819975852966,0.6090577840805054,1.118754506111145,0.91242516040802,0.8890317678451538,0.47372546792030334
1,0.8599947094917297,0.8144162893295288,0.6311089396476746,0.94386225938797,0.9244294166564941,0.36347198486328125
2,0.8978126049041748,0.865197479724884,0.4996998906135559,0.944985032081604,0.9296983480453491,0.3286903202533722
3,0.920477032661438,0.8964052200317383,0.43009817600250244,0.9520958065986633,0.9384711980819702,0.29926571249961853
4,0.9282514452934265,0.9069299697875977,0.3950876295566559,0.9577096104621887,0.9466174840927124,0.2781739830970764
5,0.9380682706832886,0.9198514223098755,0.3561100363731384,0.9655688405036926,0.9546303749084473,0.2663148045539856
6,0.942021369934082,0.9263077974319458,0.33489131927490234,0.961077868938446,0.9512015581130981,0.2597314715385437
7,0.9503228068351746,0.9357479214668274,0.31026336550712585,0.9603293538093567,0.9499050378799438,0.259433388710022
8,0.9553959965705872,0.9410187005996704,0.2923920452594757,0.9640718698501587,0.954311728477478,0.24676024913787842
9,0.9562524557113647,0.9425162076950073,0.28727856278419495,0.9618263244628906,0.9503499865531921,0.2670355439186096
10,0.9589537382125854,0.9477007985115051,0.2779588997364044,0.9655688405036926,0.9568568468093872,0.25665751099586487
11,0.966728150844574,0.9573713541030884,0.2505839467048645,0.9715569019317627,0.9647577404975891,0.23290106654167175
12,0.9727895855903625,0.9650605916976929,0.2253904640674591,0.9745509028434753,0.9674264192581177,0.21756066381931305
13,0.9742390513420105,0.9672767519950867,0.2173704206943512,0.9756736755371094,0.9690691232681274,0.213260218501091
14,0.9760178923606873,0.969163715839386,0.2047118991613388,0.9767963886260986,0.9715772867202759,0.2093745321035385
15,0.977006196975708,0.9706131815910339,0.1989186704158783,0.976422131061554,0.9704796075820923,0.2014426290988922
16,0.9780603647232056,0.9710397720336914,0.19258317351341248,0.972679615020752,0.9660691022872925,0.20130765438079834
17,0.9781262278556824,0.971490740776062,0.18618415296077728,0.9730538725852966,0.9640185236930847,0.19736497104167938
18,0.977994441986084,0.9721288681030273,0.1871829777956009,0.977544903755188,0.9723871946334839,0.1937197595834732
19,0.9806298613548279,0.9752629995346069,0.17842493951320648,0.9771706461906433,0.9710321426391602,0.18382717669010162
