epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.9510050415992737,0.9507699012756348,0.3463638126850128,0.9964285492897034,0.9963949918746948,0.2066476047039032
1,0.9943467378616333,0.9943007230758667,0.2123948484659195,1.0,1.0,0.18707309663295746
2,0.9943467378616333,0.9942980408668518,0.19385676085948944,1.0,1.0,0.1713848114013672
3,0.9987437129020691,0.9987335801124573,0.16920171678066254,1.0,1.0,0.15981167554855347
4,0.998115599155426,0.9981006383895874,0.16057106852531433,1.0,1.0,0.14905567467212677
5,0.9987437129020691,0.9987332820892334,0.14865991473197937,1.0,1.0,0.139307901263237
6,0.9993718862533569,0.999366819858551,0.13625234365463257,1.0,1.0,0.13017192482948303
7,0.9993718862533569,0.999366819858551,0.12759681046009064,1.0,1.0,0.12175171822309494
8,1.0,1.0,0.11881405860185623,1.0,1.0,0.11382562667131424
9,1.0,1.0,0.11097359657287598,1.0,1.0,0.10638132691383362
10,0.9987437129020691,0.9987332820892334,0.10528475046157837,1.0,1.0,0.10017652064561844
11,0.9987437129020691,0.9987335801124573,0.10129550099372864,1.0,1.0,0.09380658715963364
12,1.0,1.0,0.09236466884613037,1.0,1.0,0.0884862095117569
13,1.0,1.0,0.08638101071119308,1.0,1.0,0.08303985744714737
14,1.0,1.0,0.08132811635732651,1.0,1.0,0.07803265750408173
15,0.9987437129020691,0.9987335801124573,0.08114651590585709,1.0,1.0,0.07411064207553864
16,0.9993718862533569,0.9993666410446167,0.07295577228069305,1.0,1.0,0.06977520138025284
17,0.9993718862533569,0.999366819858551,0.06889504194259644,1.0,1.0,0.06586194038391113
18,1.0,1.0,0.06459522247314453,1.0,1.0,0.06234576925635338
19,0.9974874258041382,0.9974677562713623,0.0710960179567337,1.0,1.0,0.06081277132034302
