epoch,iou,loss,val_iou,val_loss
0,0.4355304539203644,0.5660604238510132,0.5031949877738953,4.330349445343018
1,0.5181810259819031,0.4412555992603302,0.5364314913749695,1.6970798969268799
2,0.5333614945411682,0.39721256494522095,0.5581138134002686,1.020864725112915
3,0.5416158437728882,0.3701343536376953,0.5783070921897888,0.7274825572967529
4,0.5572907328605652,0.3481712341308594,0.5886647701263428,0.6279433965682983
5,0.577296257019043,0.32698094844818115,0.59084153175354,0.624390721321106
6,0.603870153427124,0.3046016991138458,0.608185350894928,0.5310326218605042
7,0.6351429224014282,0.2802552282810211,0.6044331789016724,0.5400248169898987
8,0.6704637408256531,0.25412172079086304,0.6116990447044373,0.5065242648124695
9,0.7026247382164001,0.23033122718334198,0.6047729849815369,0.5459021925926208
10,0.7289268970489502,0.20971433818340302,0.623589038848877,0.44738414883613586
11,0.7472357153892517,0.19503086805343628,0.6153504848480225,0.4139981269836426
12,0.7575520873069763,0.18672055006027222,0.6184516549110413,0.4202330708503723
13,0.7631149888038635,0.18045145273208618,0.6210837364196777,0.455504447221756
14,0.754151463508606,0.18347197771072388,0.6259328722953796,0.47727659344673157
15,0.7546557188034058,0.18479666113853455,0.6102359294891357,0.5278590321540833
16,0.7727406620979309,0.17207707464694977,0.5859152674674988,0.4592955708503723
