epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.7499011754989624,0.60361248254776,0.2935039699077606,0.7792266607284546,0.6416906118392944,0.26121985912323
1,0.788495659828186,0.6546055674552917,0.2524696886539459,0.7985535264015198,0.6673910021781921,0.24243004620075226
2,0.8066450357437134,0.6795255541801453,0.230402871966362,0.8086048364639282,0.6816433668136597,0.2281775325536728
3,0.8185685873031616,0.6991186141967773,0.21314737200737,0.8207964897155762,0.6982687711715698,0.22655503451824188
4,0.8316708207130432,0.716422975063324,0.1988358348608017,0.8270421028137207,0.7073087096214294,0.2219729870557785
5,0.8426579833030701,0.7320548295974731,0.1861388087272644,0.831714928150177,0.7143229246139526,0.20247870683670044
6,0.8533363342285156,0.7471129894256592,0.1752871721982956,0.8390180468559265,0.7248474955558777,0.20501215755939484
7,0.8604656457901001,0.7596044540405273,0.16489095985889435,0.8419780731201172,0.7293727397918701,0.19350150227546692
8,0.8650295734405518,0.7680361270904541,0.1587766855955124,0.8448827266693115,0.7335093021392822,0.18778188526630402
9,0.8732767701148987,0.7785816192626953,0.1516231894493103,0.8489460349082947,0.7397639155387878,0.18866552412509918
10,0.8778220415115356,0.7859914302825928,0.14586248993873596,0.8478923439979553,0.7382494807243347,0.18178494274616241
11,0.880729079246521,0.7917127013206482,0.14115752279758453,0.8540641665458679,0.7474358081817627,0.18039844930171967
12,0.8837304711341858,0.7974162697792053,0.13789723813533783,0.8518085479736328,0.7441821098327637,0.17876100540161133
13,0.8891881108283997,0.8033556938171387,0.13360495865345,0.8573145866394043,0.7528222799301147,0.18395857512950897
14,0.8939322233200073,0.8111437559127808,0.12755629420280457,0.8604763746261597,0.757609486579895,0.17405331134796143
15,0.8922919631004333,0.8090963363647461,0.1299544870853424,0.8424333930015564,0.7306327223777771,0.18412715196609497
16,0.8958469033241272,0.8147112727165222,0.125169038772583,0.8650625944137573,0.7647875547409058,0.1745237559080124
17,0.8983314633369446,0.819783091545105,0.12224379926919937,0.8613324761390686,0.7588791251182556,0.16999506950378418
18,0.9026167392730713,0.8256368041038513,0.11796441674232483,0.8630694150924683,0.7617371082305908,0.16882014274597168
19,0.9074356555938721,0.8363237380981445,0.10996024310588837,0.8685263991355896,0.7699186205863953,0.1630324125289917
20,0.9118518829345703,0.8419269919395447,0.10545644164085388,0.8717656135559082,0.7750710248947144,0.16446727514266968
21,0.9118717312812805,0.84369957447052,0.10447190701961517,0.8720582127571106,0.7754880785942078,0.161821648478508
22,0.9151387810707092,0.8472967743873596,0.10212075710296631,0.8728697299957275,0.7768089175224304,0.16577252745628357
23,0.9155228137969971,0.8500272035598755,0.10032067447900772,0.8723393082618713,0.7760140299797058,0.15958283841609955
24,0.9178715944290161,0.8522140979766846,0.09882218390703201,0.8742561936378479,0.7790970206260681,0.1622963696718216
25,0.9181269407272339,0.8528003692626953,0.09837203472852707,0.8743631839752197,0.7793184518814087,0.16121357679367065
26,0.9201637506484985,0.8555337190628052,0.09680540859699249,0.8745526671409607,0.7797632813453674,0.15973477065563202
27,0.9216728210449219,0.8571845889091492,0.09584514796733856,0.8748597502708435,0.7798986434936523,0.15782475471496582
28,0.9220714569091797,0.8579468727111816,0.0950569286942482,0.8764008283615112,0.7822772860527039,0.1595935821533203
29,0.9233755469322205,0.859986424446106,0.09347742050886154,0.8753499388694763,0.7808460593223572,0.15966090559959412
