epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.8759422898292542,0.7730135917663574,0.6147152781486511,0.9193917512893677,0.8543879985809326,0.2954581081867218
1,0.8975483775138855,0.8096888065338135,0.48881062865257263,0.9202285408973694,0.856659471988678,0.30000123381614685
2,0.9105556607246399,0.8343260884284973,0.4025045335292816,0.9206446409225464,0.8594245910644531,0.2955036759376526
3,0.9166001677513123,0.848057746887207,0.35367509722709656,0.9193036556243896,0.8589208722114563,0.2985791862010956
4,0.9186446666717529,0.8539798855781555,0.33140960335731506,0.9186375737190247,0.8596537113189697,0.2957289516925812
5,0.9198580980300903,0.858100950717926,0.31604328751564026,0.9181185960769653,0.859830915927887,0.29520535469055176
6,0.9203264117240906,0.8601215481758118,0.3079478144645691,0.9178210496902466,0.8602703213691711,0.29297783970832825
7,0.9206870198249817,0.8619325757026672,0.3005145788192749,0.9175782799720764,0.8607409000396729,0.2902204096317291
8,0.9209597706794739,0.8635460734367371,0.29367971420288086,0.9173243045806885,0.8611493706703186,0.2874310612678528
9,0.9211636185646057,0.8650356531143188,0.28737831115722656,0.9170454740524292,0.8614601492881775,0.2847667336463928
10,0.9213141202926636,0.8663567900657654,0.2815436124801636,0.9167468547821045,0.8616929054260254,0.2822573184967041
11,0.9214243292808533,0.867581844329834,0.27611449360847473,0.9164348840713501,0.8618640899658203,0.27990373969078064
12,0.9215046763420105,0.8687042593955994,0.2710403800010681,0.9161180257797241,0.8619110584259033,0.2776798605918884
13,0.921562671661377,0.869727611541748,0.2662803828716278,0.9158011674880981,0.8619533777236938,0.2755697965621948
14,0.9216047525405884,0.8706664443016052,0.26179495453834534,0.9154912233352661,0.8619474768638611,0.27354493737220764
15,0.9216353893280029,0.8715310096740723,0.2575463652610779,0.915190577507019,0.8618801832199097,0.27159175276756287
16,0.9216582775115967,0.8723465800285339,0.2535063326358795,0.9149013161659241,0.8618156909942627,0.2696981430053711
17,0.9216763377189636,0.8731023669242859,0.24965190887451172,0.9146237969398499,0.8617535829544067,0.2678534984588623
18,0.9216932058334351,0.8738119602203369,0.2459622025489807,0.9143598675727844,0.861671507358551,0.26604199409484863
19,0.9217082858085632,0.874494731426239,0.2424224615097046,0.9141088724136353,0.8615875840187073,0.2642669975757599
20,0.9217236042022705,0.8751385807991028,0.23902039229869843,0.913870096206665,0.861488938331604,0.2625233232975006
21,0.9217390418052673,0.8757660984992981,0.23574690520763397,0.9136435985565186,0.8613845705986023,0.26080965995788574
22,0.9217554926872253,0.8763695359230042,0.23259183764457703,0.9134286642074585,0.8612850308418274,0.2591243386268616
23,0.9217734932899475,0.8769556879997253,0.22954627871513367,0.9132239818572998,0.8611820936203003,0.2574641704559326
24,0.9217925667762756,0.8775129318237305,0.22660399973392487,0.9130280613899231,0.8610865473747253,0.2558292746543884
25,0.9218133091926575,0.8780651092529297,0.22375580668449402,0.9128395318984985,0.8609772324562073,0.25422167778015137
26,0.9218358397483826,0.8786085247993469,0.2209959477186203,0.9126595258712769,0.8608947992324829,0.2526368200778961
27,0.9218602776527405,0.8791306018829346,0.2183184027671814,0.9124867916107178,0.8607857823371887,0.2510743737220764
28,0.921886682510376,0.879637598991394,0.21572111546993256,0.9123193621635437,0.8606743216514587,0.24954035878181458
29,0.9219150543212891,0.8801407814025879,0.21320173144340515,0.9121578335762024,0.8605815172195435,0.24803116917610168
